Wed Jan 24 04:28:02 2024    /app/output/2024-01-24/ctms_siot/EXP_ACCURACY_TRUST_CONVERGENCE_PERFORMANCE/simulation_run_8/data/profiler/output.dat

         275557565 function calls (274810204 primitive calls) in 131.202 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 34328335    6.132    0.000    6.132    0.000 {built-in method _struct.unpack}
 34228316   12.224    0.000   22.351    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:35(read)
 34228316    4.089    0.000    4.089    0.000 {built-in method _struct.calcsize}
 25966818    2.501    0.000    2.501    0.000 {built-in method builtins.isinstance}
 13687102    3.162    0.000    4.256    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:197(__get__)
 11200801    4.788    0.000   10.383    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:68(_check_requirements)
 10573204    0.772    0.000    0.772    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1279(value)
  9305478    1.654    0.000    1.654    0.000 {method 'decode' of 'bytes' objects}
  9305477    7.574    0.000   21.561    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:67(readString)
  4996074    0.785    0.000    0.785    0.000 {method 'append' of 'list' objects}
  4696591    0.712    0.000    0.712    0.000 {method 'keys' of 'dict' objects}
  4576739    0.520    0.000    0.520    0.000 {built-in method builtins.len}
  3960308    0.413    0.000    0.413    0.000 {built-in method builtins.hash}
  3402622    0.671    0.000    1.011    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1254(__hash__)
  3113898    0.323    0.000    0.323    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1274(name)
  2415392    1.504    0.000   35.532    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:40(_parse)
  2394663    0.577    0.000    1.277    0.000 /app/data_models/iot_devices/device_handler.py:34(get)
  2333387    1.013    0.000   35.942    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:81(add)
  2066451    2.593    0.000   22.399    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:76(readStringList)
  1579005    0.249    0.000    0.249    0.000 {method 'items' of 'dict' objects}
  1460893    0.150    0.000    0.151    0.000 {built-in method posix.fspath}
  1354726    0.232    0.000    0.232    0.000 {method 'get' of 'dict' objects}
  1120158    0.104    0.000    0.104    0.000 /app/data_models/iot_devices/vehicle.py:247(all)
   983294    0.089    0.000    0.089    0.000 /app/data_models/iot_devices/device_handler.py:133(get_devices_group_handler)
   872267    0.189    0.000    0.189    0.000 {method 'rfind' of 'str' objects}
   861950    0.235    0.000    0.825    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:53(readDouble)
   857472    0.178    0.000    0.263    0.000 <frozen posixpath>:52(normcase)
   857472    0.349    0.000    0.612    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:200(_is_internal_frame)
850647/478070    0.233    0.000    0.129    0.000 {method 'acquire' of '_thread.lock' objects}
   793759    0.372    0.000    0.372    0.000 {method 'update' of 'dict' objects}
   724010    0.182    0.000    0.182    0.000 {built-in method _struct.pack}
   663175    0.096    0.000    0.096    0.000 {method '__exit__' of '_thread.lock' objects}
