Thu Jan 25 04:09:25 2024    /app/output/2024-01-25/cbstm_iot/ROBUSTUNESS_EXPERIMENT_MALICIOUS_DEGREE0.30000000000000004/simulation_run_0/data/profiler/output.dat

         561660717 function calls (560710051 primitive calls) in 267.548 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
488631/488629    0.237    0.000  543.131    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:163(_process_event)
   488629    0.353    0.000  171.191    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:221(_write_event_to_database)
     3602    0.115    0.000   72.008    0.020 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/main.py:192(simulationStep)
   444623    2.512    0.000   69.713    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:233(_readSubscription)
     2483    0.032    0.000   65.692    0.026 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:302(_send_events)
  4261538    2.054    0.000   60.835    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:81(add)
  4481399    2.919    0.000   60.202    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:40(_parse)
     3602    2.466    0.001   58.106    0.016 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:135(exchangeTransactions)
     3602    0.268    0.000   54.348    0.015 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:357(simulationStep)
  1382072    9.625    0.000   47.672    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:36(exchange_transaction_between_devices)
   365721    1.609    0.000   45.127    0.000 /app/data_models/functions/functionalities.py:98(get_surrounding_objects)
     3602    0.057    0.000   41.259    0.011 /app/data_models/iot_devices/traffic_light.py:226(subscribe)
   219078    1.097    0.000   40.491    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:209(_sendCmd)
       81    0.034    0.000   39.819    0.492 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:205(_delay_processing)
    72040    3.962    0.000   38.705    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_trafficlight.py:111(_readLinks)
 55776462   20.753    0.000   38.578    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:35(read)
    36857    0.103    0.000   37.683    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:180(subscribe)
  3156732    4.298    0.000   36.512    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:76(readStringList)
     3602    0.347    0.000   36.363    0.010 /app/data_models/iot_devices/smart_phone.py:155(log)
 14703854   12.703    0.000   36.243    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:67(readString)
   219078    0.776    0.000   36.083    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:124(_sendExact)
    36857    0.194    0.000   34.547    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:275(_subscribe)
 36127915   15.726    0.000   34.102    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:68(_check_requirements)
491307/491306    1.497    0.000   33.982    0.000 /app/utils/logging.py:148(info)
     3602    0.132    0.000   29.335    0.008 /app/data_models/iot_devices/vehicle.py:156(update)
   219078    1.081    0.000   28.627    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:105(_recvExact)
   145517    0.292    0.000   27.553    0.000 /app/data_models/iot_devices/vehicle.py:69(update)
   438171   27.405    0.000   27.414    0.000 {method 'recv' of '_socket.socket' objects}
   171454    0.408    0.000   26.874    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:144(_getUniversal)
     3602    0.242    0.000   23.346    0.006 /app/data_models/iot_devices/smart_phone.py:94(update)
     3602    0.273    0.000   22.802    0.006 /app/data_models/iot_devices/vehicle.py:251(log)
491307/491306    0.439    0.000   22.712    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1529(info)
491307/491306    0.504    0.000   22.098    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1660(_log)
   220204    0.416    0.000   20.856    0.000 /app/data_models/iot_devices/smart_phone.py:49(update)
   171454    0.435    0.000   20.227    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:149(_getCmd)
     2483    0.050    0.000   19.940    0.008 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/transport.py:95(send)
   488629    0.543    0.000   18.851    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/memory_cache.py:31(add_event)
   365721    5.522    0.000   18.074    0.000 /app/data_models/functions/functionalities.py:128(get_surrounding_vehicles_of)
   238402    0.159    0.000   17.962    0.000 /app/data_alterantion_model/data_alternation_model.py:24(get_alternated_data)
   238402    0.450    0.000   17.740    0.000 /app/data_alterantion_model/data_alternation_model.py:110(alternate_vehicle_data)
    84587    0.180    0.000   16.173    0.000 /app/data_alterantion_model/data_alternation_model.py:64(edge_id_manipulation)
   101940    0.098    0.000   15.803    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_simulation.py:591(getDistanceRoad)
491307/491306    0.370    0.000   13.775    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1686(handle)
   491306    0.350    0.000   13.245    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1746(callHandlers)
   491306    0.580    0.000   12.889    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1011(handle)
   463222    3.554    0.000   12.866    0.000 /app/data_models/iot_devices/genric_iot_device.py:125(to_dict)
     3602    0.014    0.000   12.620    0.004 /app/pathfinder.py:64(get_simulation_data_screenshot_path)
   954612    0.356    0.000   12.527    0.000 /usr/local/python/3.12.1/lib/python3.12/json/__init__.py:183(dumps)
 39805982    9.187    0.000   12.312    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:197(__get__)
       82    0.011    0.000   12.175    0.148 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:226(_flush_queued_events)
   954612    0.923    0.000   12.147    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:183(encode)
   491306    0.563    0.000   11.588    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:153(emit)
 55998833   11.070    0.000   11.070    0.000 {built-in method _struct.unpack}
   954612   10.774    0.000   10.774    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:205(iterencode)
     3602    0.017    0.000   10.713    0.003 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_simulation.py:252(getTime)
     3602    0.011    0.000   10.563    0.003 /app/data_models/iot_devices/vehicle.py:146(subscribe)
  1104403    9.874    0.000    9.874    0.000 {built-in method numpy.array}
     3602    0.044    0.000    8.373    0.002 /app/data_models/iot_devices/traffic_camera.py:122(update)
   491306    0.587    0.000    7.757    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:94(_format_record)
 77831740    7.711    0.000    7.712    0.000 {built-in method builtins.isinstance}
  1091862    0.775    0.000    7.169    0.000 /app/data_models/functions/functionalities.py:214(add_sensed_device)
 55776462    6.949    0.000    6.949    0.000 {built-in method _struct.calcsize}
   488629    0.320    0.000    6.944    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/transport.py:224(_send_via_socket)
   491306    0.619    0.000    6.869    0.000 /app/utils/logging.py:35(format)
   220204    0.386    0.000    6.748    0.000 /app/data_models/iot_devices/smart_phone.py:55(to_dict)
   426939    0.419    0.000    6.610    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/scipy/spatial/_kdtree.py:480(query_ball_point)
  1091862    2.851    0.000    6.393    0.000 /app/data_models/report_management/sensed_device_record.py:29(__init__)
   491306    0.390    0.000    6.198    0.000 /usr/local/python/3.12.1/lib/python3.12/json/__init__.py:299(loads)
   181784    0.341    0.000    5.844    0.000 /app/data_models/iot_devices/vehicle.py:110(to_dict)
   488629    5.652    0.000    5.790    0.000 {method 'sendall' of '_socket.socket' objects}
3603/3602    0.106    0.000    5.745    0.002 /app/data_models/iot_devices/traffic_camera.py:135(log)
   491306    0.287    0.000    5.672    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1645(makeRecord)
   491306    0.658    0.000    5.627    0.000 /usr/local/python/3.12.1/lib/python3.12/json/decoder.py:332(decode)
     7204    0.009    0.000    5.466    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_simulation.py:314(getDepartedIDList)
   491306    2.119    0.000    5.382    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:298(__init__)
    39622    0.031    0.000    5.108    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_edge.py:176(getLastStepVehicleIDs)
    18010    0.116    0.000    4.944    0.000 /app/data_models/functions/functionalities.py:65(get_detected_vehicles)
     3602    0.063    0.000    4.357    0.001 /app/data_models/iot_devices/traffic_light.py:257(log)
   491306    4.333    0.000    4.333    0.000 /usr/local/python/3.12.1/lib/python3.12/json/decoder.py:343(raw_decode)
     2483    0.133    0.000    4.278    0.002 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/transport.py:116(_send)
   426939    3.214    0.000    4.032    0.000 {function KDTree.query_ball_point at 0xffff9d0a5e40}
   219078    3.895    0.000    3.895    0.000 {method 'send' of '_socket.socket' objects}
     3602    0.015    0.000    3.621    0.001 /app/data_models/iot_devices/smart_phone.py:85(subscribe)
    26059    0.014    0.000    3.501    0.000 /app/trust_management/data_models/trust_manager.py:41(add_direct_trust_recommendation)
    26059    0.067    0.000    3.476    0.000 /app/trust_management/data_models/transaction/transaction_controller.py:65(add_direct_recommendation)
     3602    0.053    0.000    3.464    0.001 /app/events/trigger.py:122(report_accidents)
  5737899    1.430    0.000    3.143    0.000 /app/data_models/iot_devices/device_handler.py:34(get)
   488711    0.151    0.000    3.052    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:159(_fetch_event)
   488629    0.405    0.000    2.951    0.000 /usr/local/python/3.12.1/lib/python3.12/uuid.py:723(uuid4)
 14703856    2.938    0.000    2.938    0.000 {method 'decode' of 'bytes' objects}
     3638    0.010    0.000    2.882    0.001 /app/pathfinder.py:30(get_simulation_data_path)
     3602    0.020    0.000    2.860    0.001 /app/events/trigger.py:80(update_collisions)
   488711    0.637    0.000    2.756    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:154(get)
 34337765    2.533    0.000    2.533    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1279(value)
    21828    0.034    0.000    2.449    0.000 /app/pathfinder.py:10(create_folder)
    26461    0.075    0.000    2.357    0.000 /app/trust_management/data_models/transaction/transaction_controller.py:152(log_transaction)
  7653305    1.516    0.000    2.306    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1254(__hash__)
   365719    1.230    0.000    2.188    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/numpy/linalg/linalg.py:2383(norm)
   491306    0.818    0.000    2.126    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1611(findCaller)
   491306    0.175    0.000    2.107    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:78(enqueue_event)
21829/21828    0.074    0.000    2.090    0.000 <frozen os>:200(makedirs)
     3638    0.011    0.000    1.966    0.001 /app/pathfinder.py:25(get_simulation_path)
   491306    0.658    0.000    1.932    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:122(put)
     6256    0.022    0.000    1.886    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:305(_subscribeContext)
      2/1    0.001    0.001    1.830    1.830 /app/simulator.py:63(run_simulation)
     2483    0.036    0.000    1.773    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/transport.py:133(_close)
     7692    0.008    0.000    1.699    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:166(getIDList)
  1663426    0.458    0.000    1.690    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:53(readDouble)
     3128    0.008    0.000    1.657    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:218(subscribeContext)
     3638    0.008    0.000    1.604    0.000 /app/pathfinder.py:21(get_experiment_path)
    21829    1.604    0.000    1.604    0.000 {built-in method posix.mkdir}
  9763965    1.554    0.000    1.554    0.000 {method 'keys' of 'dict' objects}
      811    1.434    0.002    1.501    0.002 {built-in method time.sleep}
     2309    0.024    0.000    1.450    0.001 /app/network_manager/network_manager.py:96(get_reporters)
  1821325    0.946    0.000    1.377    0.000 /app/trust_management/data_models/transaction/transaction_controller.py:272(exists_in_recommendations)
   803724    1.307    0.000    1.307    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  7896158    1.306    0.000    1.306    0.000 {method 'append' of 'list' objects}
     2483    0.035    0.000    1.295    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/transport.py:142(_wait_for_socket_buffer_empty)
     3638    0.022    0.000    1.288    0.000 /app/pathfinder.py:17(get_trust_model_path)
        1    0.000    0.000    1.269    1.269 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/main.py:122(start)
        1    0.000    0.000    1.268    1.268 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/main.py:109(init)
   488629    1.189    0.000    1.234    0.000 {built-in method posix.urandom}
    31943    0.047    0.000    1.174    0.000 /app/data_models/iot_devices/traffic_camera.py:63(sensed_objects_to_dict)
   688118    0.314    0.000    1.165    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:61(readLength)
   219078    0.776    0.000    1.140    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:154(_pack)
     3602    0.071    0.000    1.100    0.000 /app/data_models/iot_devices/traffic_light.py:231(update)
  1473918    0.616    0.000    1.083    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:200(_is_internal_frame)
     3602    0.285    0.000    1.080    0.000 /app/data_models/report_management/report_manager.py:63(update)
  9021004    1.073    0.000    1.073    0.000 {built-in method builtins.len}
   491306    0.172    0.000    1.070    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:173(_start_worker_thread)
   488629    0.769    0.000    1.063    0.000 /usr/local/python/3.12.1/lib/python3.12/uuid.py:139(__init__)
     2483    0.006    0.000    1.018    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:286(_delete_queued_events_from_database)
     2483    0.558    0.000    1.012    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/memory_cache.py:70(delete_queued_events)
        1    0.000    0.000    1.002    1.002 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/main.py:87(connect)
   491451    0.315    0.000    0.968    0.000 <frozen posixpath>:117(splitext)
    36020    0.036    0.000    0.959    0.000 /app/data_models/iot_devices/traffic_light.py:194(get_dict)
     2483    0.018    0.000    0.929    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/transport.py:191(_create_socket)
  8630563    0.906    0.000    0.906    0.000 {built-in method builtins.hash}
   491306    0.196    0.000    0.898    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:192(_worker_thread_is_running)
     3602    0.012    0.000    0.871    0.000 /app/data_models/iot_devices/induction_loop.py:102(update)
   979936    0.313    0.000    0.859    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:394(notify)
     3638    0.010    0.000    0.822    0.000 /app/pathfinder.py:14(get_base_path)
   270709    0.368    0.000    0.791    0.000 /app/utils/simulation.py:21(is_object_in_simulation)
980182/979871    0.525    0.000    0.772    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:299(__enter__)
243184/888    0.293    0.000    0.762    0.001 /usr/local/python/3.12.1/lib/python3.12/copy.py:118(deepcopy)
   491306    0.478    0.000    0.755    0.000 /app/utils/logging.py:178(get_logger)
