Wed Jan 24 05:03:11 2024    /app/output/2024-01-24/ctms_siot/ROBUSTUNESS_EXPERIMENT_MALICIOUS_DEGREE0.4/simulation_run_2/data/profiler/output.dat

         606117489 function calls (604712471 primitive calls) in 264.096 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
102835681    9.539    0.000    9.539    0.000 {built-in method builtins.isinstance}
 52344583   11.711    0.000   15.689    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:197(__get__)
 51614672    9.397    0.000    9.397    0.000 {built-in method _struct.unpack}
 51428938   18.690    0.000   34.155    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:35(read)
 51428938    6.233    0.000    6.233    0.000 {built-in method _struct.calcsize}
 48577991   21.026    0.000   44.581    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:68(_check_requirements)
 47144319    3.428    0.000    3.428    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1279(value)
 13543314    2.475    0.000    2.475    0.000 {method 'decode' of 'bytes' objects}
 13543313   11.276    0.000   31.956    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:67(readString)
  9643561    1.476    0.000    1.476    0.000 {method 'keys' of 'dict' objects}
  9068365    0.919    0.000    0.919    0.000 {built-in method builtins.hash}
  8184850    0.919    0.000    0.919    0.000 {built-in method builtins.len}
  8102147    1.550    0.000    2.354    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1254(__hash__)
  7401422    1.168    0.000    1.168    0.000 {method 'append' of 'list' objects}
  6341522    1.516    0.000    3.335    0.000 /app/data_models/iot_devices/device_handler.py:34(get)
  5200264    0.549    0.000    0.549    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1274(name)
  4135606    2.653    0.000   53.146    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:40(_parse)
  3971935    1.751    0.000   53.885    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:81(add)
  3955327    0.584    0.000    0.584    0.000 {method 'items' of 'dict' objects}
  2922549    3.765    0.000   32.222    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:76(readStringList)
  2576864    0.237    0.000    0.237    0.000 /app/data_models/iot_devices/vehicle.py:247(all)
  2471996    0.269    0.000    0.269    0.000 {built-in method posix.fspath}
  2271703    0.205    0.000    0.205    0.000 /app/data_models/iot_devices/device_handler.py:133(get_devices_group_handler)
  2228990    0.384    0.000    0.384    0.000 {method 'get' of 'dict' objects}
  1704306   11.287    0.000   60.215    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:36(exchange_transaction_between_devices)
  1517645    0.424    0.000    1.518    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:53(readDouble)
  1495592    0.149    0.000    0.149    0.000 /app/trust_management/data_models/transaction/transaction_manager.py:237(get_recommended_transactions_ids)
  1495592    0.758    0.000    1.123    0.000 /app/trust_management/data_models/transaction/transaction_controller.py:272(exists_in_recommendations)
  1477106    0.328    0.000    0.328    0.000 {method 'rfind' of 'str' objects}
  1458183    0.386    0.000    0.386    0.000 {built-in method _struct.pack}
  1456266    0.308    0.000    0.481    0.000 <frozen posixpath>:52(normcase)
  1456266    0.587    0.000    1.068    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:200(_is_internal_frame)
1454285/808703    0.425    0.000    0.233    0.000 {method 'acquire' of '_thread.lock' objects}
  1324940    0.628    0.000    0.628    0.000 {method 'update' of 'dict' objects}
  1239705    0.111    0.000    0.111    0.000 /app/data_models/iot_devices/smart_phone.py:151(all)
  1237449    0.118    0.000    0.118    0.000 /app/data_models/iot_devices/traffic_camera.py:127(all)
  1237449    0.110    0.000    0.110    0.000 /app/data_models/iot_devices/induction_loop.py:111(all)
